0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:22 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:22 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 47456
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:29 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 47455
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:36 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:38 -0300] "GET /Vendas/produtos/CadastroProduto.xhtml HTTP/1.1" 200 13823
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:38 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:38 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:38 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:05:38 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
